"Selected items"	"unit"	"1978-79"	"1979-80"	"1980-81"	"1981-82"	"1982-83"	"1983-84"	"1984-85"	"1985-86"	"1986-87"	"1987-88"	"1988-89"	"1989-90"	"1990-91"	"1991-92"	"1992-93"	"1993-94"	"1994-95"	"1995-96"	"1996-97"	"1997-98"	"1998-99"	"1999-00"	"2000-01"	"2001-02"	"2002-03"	"2003-04"	"2004-05"	"2005-06"	"2006-07"	"2007-08"	"2008-09"	"2009-10"	"2010-11"	"2011-12"	"2012-13"	"2013-14"
"Deferred non-commercial business losses - deferred losses from sole trader activities"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	297281817	399473008	520526570	620952261	731179430	829815621	953717822	1035096182	1166790377	1478607706	1557548480	1753486655	1854849738	1798421441
"Deferred non-commercial business losses - primary production deferred losses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34945	32200	31430	33430	32325	31990	30671	27240
"Deferred non-commercial business losses - primary production deferred losses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	377377613	375382571	396285136	619545335	661404620	735226765	776701916	750350095
"Deferred non-commercial business losses - non-primary production deferred losses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	127325	127440	136470	144700	144740	146114	148359	143994
"Deferred non-commercial business losses - non-primary production deferred losses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	907017714	995076139	1133314751	1344548497	1410244068	1560726625	1633899624	1531742853
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Net farm management deposits or repayments"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Net farm management deposits or repayments - deductible deposits"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15047	14165	14907
"Net farm management deposits or repayments - deductible deposits"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	860615529	958975558	998020389
"Net farm management deposits or repayments - early repayments exceptional circumstances"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63	85	80
"Net farm management deposits or repayments - early repayments exceptional circumstances"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3442069	3807791	6350381
"Net farm management deposits or repayments - early repayments natural disaster"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	19	29
"Net farm management deposits or repayments - early repayments natural disaster"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1386705	454391	699796
"Net farm management deposits or repayments - other repayments"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11721	13708	12597
"Net farm management deposits or repayments - other repayments"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	600445567	722030131	706824065
"Net farm management deposits"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	855	1570	1780	2390	4930	4190	4770	6310	6115	12380	27165	18985	14730	14540	12220	11415	12930	10220	8150	15470	12634	11041	12021
"Net farm management deposits"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.8e+07	-3.3e+07	-3.8e+07	-5.5e+07	-117336143	-90754282	-115957901	-158916709	-167658225	-411593479	-1022239655	-720930409	-463027874	-488584500	-404264190	-491189856	-571696233	-447665212	-317243778	-789606075	-586673172	-582955458	-633201452
"Net farm management repayment"	"no."	NA	NA	NA	NA	NA	NA	NA	1975	965	650	315	NA	655	1360	950	910	1215	1080	1590	2000	2770	3650	2675	2355	9165	12570	11485	12205	12790	11355	10875	12310	8620	8938	10165	9086
"Net farm management repayment"	"$"	NA	NA	NA	NA	NA	NA	NA	2e+07	1.1e+07	8e+06	3e+06	NA	8e+06	2.1e+07	1.4e+07	1.3e+07	1.9e+07	17344718	28176189	39650276	59448502	79013534	62516224	59692751	252399002	384069587	333220735	381668531	430946291	452671195	411040370	453992086	314971106	331415807	350272213	349055305
"Net farm management deposits or repayments"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20460	24090	21572	21206	21107
"Net farm management deposits or repayments"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	136748308	-474634969	-255257365	-232683245	-284146147
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Capital gains"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Net capital gain"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	25165	72210	151470	175780	160210	202250	251035	414630	332525	441800	695455	855740	972620	1031175	1441125	1140830	840580	1014565	1200660	1248545	1434310	1406695	544475	572415	587400	448197	526775	609678
"Net capital gain"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	1.03e+08	3.5e+08	9.7e+08	9.51e+08	7.35e+08	9.18e+08	1.131e+09	2.44e+09	1.656e+09	2311565029	3282635607	5147334900	6171731083	6325314900	6131267704	6837506302	7247383925	10981476028	13208972584	17297841077	27064478297	24348501048	11084491410	11819049644	12541830391	9837818636	10468011264	14379193452
"Total current year capital gains"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1154970	1616905	1331010	1083260	1506670	1450705	1426670	1592150	1589720	761720	818610	849265	699451	792546	852271
"Total current year capital gains"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10767733746	13064179896	15692704245	17158109215	25624315011	30915500887	38884892415	58789071674	57086596868	28587908398	29923427203	31259860875	25708748639	26805373648	34863772167
"Net capital losses carried forward to later income years"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	169040	216680	268265	321960	334800	391925	490435	610320	869170	821075	707275	630350	638045	877600	927565	1006150	1070592	1075625	1003967
"Net capital losses carried forward to later income years"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2000002046	2733144354	3499022311	3972571142	4657290779	4808237520	6022283516	7499732529	8130083082	8281109103	8166708309	8130279402	9808064029	18532579507	20106682369	22122718327	25783274117	27510199029	27033781681
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Foreign entities"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Foreign entities - Controlled foreign company income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10770	23770	8005	6780	7190	2930	1321	1046
"Foreign entities - Controlled foreign company income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35952476	31970673	14978352	8317631	7061306	17341204	18875002	28054269
"Foreign entities - Transferor trust income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80	135	675	335	540	465	529	559
"Foreign entities - Transferor trust income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4178466	2402009	2380464	1379496	3335434	6500731	11737781	9650188
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Foreign source income and foreign assets or property"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Assessable foreign source income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	669315	731900	831365	915295	943490	1014775	1069880	1107095	1100500	993275	944855	897545	824141	773087	705722
"Assessable foreign source income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1746589220	1901128331	1851715819	2007711319	2161761148	2372235033	2672389365	3276516867	3538452973	3526631476	3567707326	3606987037	3782187037	3964564829	4511164832
"Other net foreign employment income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23890	23330	23958	25296	22325
"Other net foreign employment income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1105723063	1178780820	1374972303	1513928200	1580973151
"Net foreign pension or annuity income without an undeducted purchase price"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54190	55210	56074	56358	55885
"Net foreign pension or annuity income without an undeducted purchase price"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	473715799	454530341	450116714	472799874	541162801
"Net foreign pension or annuity income with an undeducted purchase price"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68655	72480	77760	58950	53805	54050	56180	59725	61005	60205	56745	53835	51635	49870	48244	45875	44262
"Net foreign pension or annuity income with an undeducted purchase price"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	385199943	447099789	468557107	415183433	407138920	421349746	410245598	445130068	449385498	455954399	428052703	434686851	376403504	334531972	320722513	318367211	365293356
"Net foreign rent"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19975	26580	31340	37409	40981	41567
"Net foreign rent"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28799877	39209143	36076946	57207573	74571095	104669035
"Other net foreign source income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	144130	186265	243695	248065	296340	333340	386835	453780	538345	626660	734690	823750	849530	910810	963555	1004660	1003110	887730	845720	796990	719412	665634	601411
"Other net foreign source income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.56e+08	2.91e+08	2.98e+08	2.69e+08	347948934	392110227	548774573	576485248	626988920	744276220	799860245	870904977	957915599	1068604167	1332878340	1694020116	2057106839	1788475179	1462504768	1484564766	1449874393	1451687830	1789833715
"Australian franking credits from a New Zealand franking company"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6735	7980	8905	6560	7220	5480	4980	8980	26667	27947	17945
"Australian franking credits from a New Zealand franking company"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	725578	991562	1276827	1403123	1853791	1545617	1308068	1333958	1787373	2412982	1779221
"Net foreign employment income - payment summary"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5355	6165	6478	6582	8439
"Net foreign employment income - payment summary"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	383647266	459132128	542130462	596256223	654700841
"Exempt foreign employment income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14815	NA	NA	NA	18095	19810	22270	22795	25045	25040	26420	28170	28725	24840	8155	6165	5576	5047	3970
"Exempt foreign employment income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	486834438	NA	NA	NA	802989545	992735743	1212504740	1185851193	1179228206	1278094064	1365073575	1630647403	1763501410	1898135008	425068486	362406767	336234951	316921348	279838972
"Foreign income tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	34285	33030	82140	93865	122860	162385	192125	168270	266940	292190	323315	354295	332215	411705	481465	570475	628080	684270	761405	772735	742335	651010	741610	691350	626634	612532	545637
"Foreign income tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2e+07	2.1e+07	4.6e+07	4.4e+07	4.6e+07	5e+07	5.1e+07	5.1e+07	62014049	80191206	94214961	102622836	108466157	134264917	131598564	136410653	150199020	178849949	224957333	245085504	267283528	244395182	483565730	563581848	651300893	749280608	843312383
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Rent"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Gross rent"	"no."	274040	330065	367140	398840	NA	NA	NA	504830	510810	561525	607865	NA	NA	NA	NA	969570	1034110	1139855	1196790	1239295	1276350	1352200	1381970	1426555	1480480	1553565	1588005	1642300	1700340	1756935	1766595	1831570	1886485	1966949	2013477	2008764
"Gross rent"	"$"	736666000	991812000	1188078000	1433287000	NA	NA	NA	2603485000	2.87e+09	3.199e+09	3.617e+09	NA	5.706e+09	6.334e+09	6.916e+09	7.439e+09	8.204e+09	9360556789	10100514242	10750599049	11369255419	12402571705	13454798381	14337280240	15553863159	17259507886	18881342594	20520296684	22491658271	25053768178	27682808644	29846238411	32625707605	35891037904	38043488450	38778111519
"Rent - interest deductions"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	581865	647835	700535	785055	831785	872605	913350	990170	1030690	1085525	1149830	1228425	1263240	1313900	1368475	1427435	1434635	1491330	1543135	1612217	1650724	1647125
"Rent - interest deductions"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.405e+09	3.501e+09	4.217e+09	5228416592	5206008833	4902710947	5001371247	5848682492	7226796301	7235387046	8625647434	10867625327	13062002276	14926458448	17465169502	21103962351	20698701840	19678211311	24163374178	25605226320	23494156414	21353760081
"Rent - capital works deductions"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	201155	245500	293780	321770	367655	413025	467795	509315	550815	596965	639310	670370	725475	775560	838578	889627	919773
"Rent - capital works deductions"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	330714849	404041774	491470006	572576125	664306865	761039191	898287848	1035350123	1169519735	1319012685	1461928165	1615867449	1811281971	2044851832	2292925406	2543089176	2729871421
"Rent - other rental deductions"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	881920	959790	1024710	1130425	1188015	1232490	1271735	1350630	1378010	1427660	1483110	1555860	1589810	1645640	1704720	1762455	1769655	1837750	1894210	1974970	2022397	2019278
"Rent - other rental deductions"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.287e+09	3.539e+09	3.981e+09	4550435909	4875523095	4932207891	5265410313	5906740098	6456410661	7060370749	7692634752	8549238644	9243162593	9952775810	10680881047	11552546512	12413133654	13606961407	14847606907	16368802045	17658315998	18376951484
"Net rent – profit"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	480735	482505	505855	555755	607300	636555	628980	582670	616700	596840	574160	554500	553730	549885	542680	606710	676490	629940	660709	732350	776672
"Net rent – profit"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.27e+09	2.35e+09	2550190113	2796411835	3011974543	3194420389	3266612704	3252070646	3421754510	3466336692	3524479024	3605852890	3766451723	3979153116	4247247908	4957624208	5609027651	5754778053	6214690979	6881195654	7247717631
"Net rent – loss"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	499735	561630	643555	650405	623620	649680	736810	809280	825080	900840	996835	1050270	1106470	1170485	1236215	1178155	1177340	1280935	1330377	1305601	1257301
"Net rent – loss"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.872e+09	-2.345e+09	-2968110454	-2777190348	-2412679911	-2495966765	-3110944665	-4053057665	-4044538930	-4991797313	-6580122957	-8065025288	-9294909032	-10952558079	-13311916758	-12002518507	-10859243929	-14115137656	-14574254038	-12534703610	-10966511713
"Net rent2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	696355	764405	837865	907130	980470	1044135	1149410	1206160	1230920	1286230	1365790	1391950	1441780	1497685	1570995	1604770	1660200	1720370	1778890	1784865	1853830	1910875	1991086	2037951	2033973
"Net rent2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.75e+08	-3.9e+08	-1.22e+08	2.24e+08	3.99e+08	6e+06	-417920341	19221487	599294631	698453624	155668039	-800987019	-622784420	-1525460621	-3055643933	-4459172398	-5528457309	-6973404963	-9064668850	-7044894299	-5250216278	-8360359603	-8359563059	-5653507956	-3718794082
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Bonuses from life insurance companies and friendly societies"	"no."	NA	NA	NA	NA	NA	NA	NA	3815	6720	11970	19290	41950	47510	42610	45995	45335	45960	47005	35280	19825	14060	11960	8570	5355	3725	3010	2670	2330	2300	2070	1485	1100	1040	887	920	710
"Bonuses from life insurance companies and friendly societies"	"$"	NA	NA	NA	NA	NA	NA	NA	3e+06	1.2e+07	3.3e+07	4.8e+07	1.29e+08	1.78e+08	1.66e+08	1.92e+08	2.08e+08	2.3e+08	219755123	146990881	71824257	49838890	43983757	35107213	26720846	12619123	10808940	11763138	13095257	19324006	13710764	8529720	4758261	6050567	4510953	4788059	4902937
"Forestry managed investment scheme income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1170	1880	3460	1750	2290	3533	3159
"Forestry managed investment scheme income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13349140	15853944	31005714	14040491	14023671	41308262	12322924
"Other income - Category 1"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38875	4475	40390	79185	63665	60095	70440	82665	86715	103570	209800	284500	412305	774245	880532	785224	700608
"Other income - Category 1"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	195691248	40771782	278883489	359846650	426881947	436779652	568761979	809723159	1128165278	1601344198	1911209962	2041410498	1156349226	1287200150	1361379291	1350817605	1209482435
"Other income - Category 2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	114500	90140	108440	114435	112970	81865	112350	116600	122075	122885	133655	123300	128245	152515	159386	171064	129625
"Other income - Category 2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	552611932	712297453	873199597	995125153	1021964588	847053414	908799029	1031338621	1091633892	1282714945	1117156335	946213618	641707881	627385602	642073233	700792785	639368156
"Other income - Tax withheld - lump sum payments in arrears"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2475	5335	3640	4185	3255	4055	3305	2785	2500	2150	2650	2800	2913	3011	3260
"Other income - Tax withheld - lump sum payments in arrears"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7358089	8185287	7526476	10003286	10229906	12716324	11497231	11185811	9186878	8113769	9113901	8216048	8675899	10516416	10921750
"Other income - Taxable professional income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4105	3950	4455	4860	5425	5790	5950	6680	7615	9175	12045	15725	16012	17084	15708
"Other income - Taxable professional income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132037037	134773055	176990985	203019683	235404370	251438723	264360505	312265272	392577070	458958150	504855586	604761536	682740902	719683823	742468311
"Total supplement income or loss2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4706460	4847675	4631315	4791400	5008755	5019962	4971674	4811017
"Total supplement income or loss2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83214011701	84503374044	73625992375	80146064112	88470073775	89653562522	93688163232	102330117473
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Supplementary section - Deductions"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Deductible amount of undeducted purchase price of a foreign pension or annuity"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68455	50370	45975	46905	49360	52615	50915	50260	46650	44910	41575	40085	38369	35764	34636
"Deductible amount of undeducted purchase price of a foreign pension or annuity"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61691483	48953946	46001207	48752990	48562604	52769362	51904094	51981621	49159105	52163931	43746753	37455033	35100852	33350736	37155200
"Personal superannuation contributions"	"no."	NA	NA	NA	NA	NA	NA	NA	547895	623060	739840	894515	1214680	1373985	1312325	287920	243810	226070	225270	211375	205585	203300	193185	186405	190110	174970	179005	185790	209825	260690	235385	198595	186990	193600	190315	187399	196697
"Personal superannuation contributions"	"$"	NA	NA	NA	NA	NA	NA	NA	425748000	5.56e+08	6.98e+08	1.091e+09	1.493e+09	2.003e+09	2.142e+09	7.91e+08	8.09e+08	6.94e+08	883474700	849647232	961375319	1097333270	1132960376	1191145367	1358774757	1375499745	1649981105	2077254655	3985399405	8306898346	7504047215	6347226543	3951155820	4327123856	4490444567	2958890021	3656768708
"Deduction for project pool"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7090	1155	1145	1000	795	915	590	820	1005	2270	2371	2610	1887
"Deduction for project pool"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4514222	2779987	2953854	3208392	3309801	4057657	3667864	2058904	1932976	2823715	2712245	2249556	1755903
"Forestry managed investment scheme deduction"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12385	13540	14695	13620	12230	9190	5247
"Forestry managed investment scheme deduction"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	276354189	158275825	96419647	90351871	74757881	85654123	62681104
